screen_name,fav,rt,tweet,tweet_url
Shehzad_Ind,1576,521,Extremely disturbing remarks by Mehbooba Mufti in Art 35A - the matter is in SC &amp; ultimately SC &amp; Parliament can de… https://t.co/Xz6APJGTvu,https://twitter.com/Shehzad_Ind/status/1155385645335891968
MarinaDiamandis,8373,1250,just on my way to add “I’M NOT HUNGRY ANYMORE” to the ‘Love + Fear’ set list. 💚💕 💚💕💚💕💚💕 the power of this stanbase. https://t.co/EtGSjI6hsx,https://twitter.com/MarinaDiamandis/status/1155604638172717057
GovMikeHuckabee,5980,1054,Watch @foxandfriends at 8amET today @FoxNews as I will explain how my 4 &amp;5 yr old grandsons were able to confirm ex… https://t.co/A1vll5VPpZ,https://twitter.com/GovMikeHuckabee/status/1155429782387142656
thecjpearson,3308,1026,"#ChristianPrivilege must be being slaughtered in the Middle East en masse and no one talking about it, out of fear… https://t.co/7bSV3dMfIk",https://twitter.com/thecjpearson/status/1155278834310291456
NelsonRussellM,4607,922,"The Atonement of Jesus Christ can help us cope with the grief, sadness, weakness, fear, and anxiety that are part of mortality’s trials.",https://twitter.com/NelsonRussellM/status/1155485579791876096
ArmaanMalik22,2315,410,"never fear about your old colours fading away, coz one day you’ll be coloured in new hues that even the rainbow cou… https://t.co/U6H87TIP0e",https://twitter.com/ArmaanMalik22/status/1155185260423892992
Shehzad_Ind,4208,1334,Mehbooba Mufti ji : How can Indian Army create fear psychosis in minds of Indians? It can only create fear in minds… https://t.co/3bJQ4tBPDD,https://twitter.com/Shehzad_Ind/status/1155001678464073728
AlfieDeyes,6420,808,Your fear of looking dumb is holding you back,https://twitter.com/AlfieDeyes/status/1155026545305669632
gvprakash,9918,1888,Here is an exciting update guys ....The #othasollala combination is back for #asuran ... #velmurugan to sing a supe… https://t.co/x7bjL316Mq,https://twitter.com/gvprakash/status/1155103169908658177
_YogendraYadav,6958,1585,"The two letters on lynching help us separate two types of artists:

- Those who sing peans to power
- Those who spe… https://t.co/JaqVr2RYY5",https://twitter.com/_YogendraYadav/status/1155175275509870592
PlayWarframe,3179,550,"""Father, do you remember your Shawzin? Remember how you'd sing to us 'Smiles from Juran'?""

Show off your talents w… https://t.co/JIe6Vzxwrr",https://twitter.com/PlayWarframe/status/1155191223126253568
BrymOlawale,2463,1147,"In 2010 they said I had no personality, in 2012 they said I didn’t have enough swag. 2013 they said I was too angry… https://t.co/FlN0hKuekP",https://twitter.com/BrymOlawale/status/1155425299640795136
